Date,Centre_Name,Commodity_Name,Price
20-01-09,BHOPAL,Tomato,NA
20-01-09,MUMBAI,Tomato,NA
20-01-09,JAIPUR,Tomato,NA
20-01-09,PATNA,Tomato,NA
20-01-09,RANCHI,Tomato,NA
20-01-09,BHUBANESHWAR,Tomato,NA
20-01-09,KOLKATA,Tomato,NA
20-01-09,GUWAHATI,Tomato,NA
20-01-09,SHILLONG,Tomato,NA
20-01-09,AIZWAL,Tomato,NA
20-01-09,KOHIMA,Tomato,NA
20-01-09,AGARTALA,Tomato,NA
20-01-09,BENGALURU,Tomato,NA
20-01-09,T.PURAM,Tomato,NA
20-01-09,CHENNAI,Tomato,NA
20-01-09,HYDERABAD,Tomato,NA
21-01-09,CHANDIGARH,Tomato,NA
21-01-09,DELHI,Tomato,NA
21-01-09,SHIMLA,Tomato,NA
21-01-09,SRINAGAR,Tomato,NA
21-01-09,JAMMU,Tomato,NA
21-01-09,AMRITSAR,Tomato,NA
21-01-09,LUDHIANA,Tomato,NA
21-01-09,LUCKNOW,Tomato,NA
21-01-09,DEHRADUN,Tomato,NA
21-01-09,RAIPUR,Tomato,NA
21-01-09,AHMEDABAD,Tomato,NA
21-01-09,BHOPAL,Tomato,NA
21-01-09,MUMBAI,Tomato,NA
21-01-09,JAIPUR,Tomato,400
21-01-09,PATNA,Tomato,NA
21-01-09,RANCHI,Tomato,NA
21-01-09,BHUBANESHWAR,Tomato,NA
21-01-09,KOLKATA,Tomato,NA
21-01-09,GUWAHATI,Tomato,NA
21-01-09,SHILLONG,Tomato,NA
21-01-09,AIZWAL,Tomato,NA
21-01-09,KOHIMA,Tomato,NA
21-01-09,AGARTALA,Tomato,NA
21-01-09,BENGALURU,Tomato,NA
21-01-09,T.PURAM,Tomato,NA
21-01-09,CHENNAI,Tomato,NA
21-01-09,HYDERABAD,Tomato,NA
22-01-09,CHANDIGARH,Tomato,NA
22-01-09,DELHI,Tomato,NA
22-01-09,SHIMLA,Tomato,NA
22-01-09,SRINAGAR,Tomato,NA
22-01-09,JAMMU,Tomato,NA
22-01-09,AMRITSAR,Tomato,NA
22-01-09,LUDHIANA,Tomato,NA
22-01-09,LUCKNOW,Tomato,NA
22-01-09,DEHRADUN,Tomato,NA
22-01-09,RAIPUR,Tomato,NA
22-01-09,AHMEDABAD,Tomato,NA
22-01-09,BHOPAL,Tomato,NA
22-01-09,MUMBAI,Tomato,NA
22-01-09,JAIPUR,Tomato,500
22-01-09,PATNA,Tomato,NA
22-01-09,RANCHI,Tomato,NA
22-01-09,BHUBANESHWAR,Tomato,NA
22-01-09,KOLKATA,Tomato,NA
22-01-09,GUWAHATI,Tomato,NA
22-01-09,SHILLONG,Tomato,NA
22-01-09,AIZWAL,Tomato,NA
22-01-09,KOHIMA,Tomato,NA
22-01-09,AGARTALA,Tomato,NA
22-01-09,BENGALURU,Tomato,NA
22-01-09,T.PURAM,Tomato,NA
22-01-09,CHENNAI,Tomato,NA
22-01-09,HYDERABAD,Tomato,NA
23-01-09,CHANDIGARH,Tomato,NA
23-01-09,DELHI,Tomato,NA
23-01-09,SHIMLA,Tomato,NA
23-01-09,SRINAGAR,Tomato,NA
23-01-09,JAMMU,Tomato,NA
23-01-09,AMRITSAR,Tomato,NA
23-01-09,LUDHIANA,Tomato,NA
23-01-09,LUCKNOW,Tomato,NA
23-01-09,DEHRADUN,Tomato,NA
23-01-09,RAIPUR,Tomato,NA
23-01-09,AHMEDABAD,Tomato,NA
23-01-09,BHOPAL,Tomato,NA
23-01-09,MUMBAI,Tomato,NA
23-01-09,JAIPUR,Tomato,NA
23-01-09,PATNA,Tomato,NA
23-01-09,RANCHI,Tomato,NA
23-01-09,BHUBANESHWAR,Tomato,NA
23-01-09,KOLKATA,Tomato,NA
23-01-09,GUWAHATI,Tomato,NA
23-01-09,SHILLONG,Tomato,NA
23-01-09,AIZWAL,Tomato,NA
23-01-09,KOHIMA,Tomato,NA
23-01-09,AGARTALA,Tomato,NA
23-01-09,BENGALURU,Tomato,NA
23-01-09,T.PURAM,Tomato,NA
23-01-09,CHENNAI,Tomato,NA
23-01-09,HYDERABAD,Tomato,NA
27-01-09,CHANDIGARH,Tomato,NA
27-01-09,DELHI,Tomato,NA
27-01-09,SHIMLA,Tomato,NA
27-01-09,SRINAGAR,Tomato,NA
27-01-09,JAMMU,Tomato,NA
